Date,Pipe Number,Min Temp,Times when @ min,Max Temp,Times when @ max,Mean Temp,STD of Temp
2022-09-29,1,24.375,"15:19:10,15:20:13",24.437,"15:21:15,15:22:18",24.406,0.031000000000000583
2022-09-29,2,24.312,"15:19:10,15:20:13,15:21:15,15:22:18",24.312,"15:19:10,15:20:13,15:21:15,15:22:18",24.312,0.0
2022-09-29,3,24.0,"15:19:10,15:21:15,15:22:18",24.062,15:20:13,24.0155,0.026846787517318102
